"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 21:54:00,23,71.6,46.2
2025-09-13 21:54:30,23,71.6,46.2
2025-09-13 21:55:00,23,71.6,46.2
2025-09-13 21:55:30,23,71.6,46.2
2025-09-13 21:56:00,23,71.6,46.5
2025-09-13 21:56:30,23,71.6,46.5
2025-09-13 21:57:00,23,71.6,46.5
2025-09-13 21:57:30,23,71.6,46.5
2025-09-13 21:58:00,23,71.6,46.5
2025-09-13 21:58:30,23,71.6,46.5
2025-09-13 21:59:00,23,71.6,46.5
2025-09-13 21:59:30,23,71.6,46.5
2025-09-13 22:00:00,23,73.4,46.5
2025-09-13 22:00:30,23,73.4,46.5
2025-09-13 22:01:00,23,73.4,46.5
2025-09-13 22:01:30,23,73.4,46.5
2025-09-13 22:02:00,23,73.4,46.5
2025-09-13 22:02:30,23,73.4,46.5
2025-09-13 22:03:00,23,73.4,46.5
2025-09-13 22:03:30,23,73.4,46.5
2025-09-13 22:04:00,23,73.4,46.5
2025-09-13 22:04:30,23,73.4,46.5
2025-09-13 22:05:00,23,73.4,46.5
2025-09-13 22:05:30,23,73.4,46.5
2025-09-13 22:06:00,23,73.4,46.5
2025-09-13 22:06:30,23,73.4,46.5
2025-09-13 22:07:00,23,73.4,46.5
2025-09-13 22:07:30,23,73.4,46.5
2025-09-13 22:08:00,23,73.4,46.5
2025-09-13 22:08:30,23,73.4,46.5
2025-09-13 22:09:00,23,73.4,46.5
2025-09-13 22:09:30,23,73.4,46.5
2025-09-13 22:10:00,23,73.4,46.5
2025-09-13 22:10:30,23,73.4,46.5
2025-09-13 22:11:00,23,73.4,46.5
2025-09-13 22:11:30,23,73.4,46.5
2025-09-13 22:12:00,23,73.4,46.5
2025-09-13 22:12:30,23,73.4,46.5
2025-09-13 22:13:00,23,73.4,46.5
2025-09-13 22:13:30,23,73.4,46.5
2025-09-13 22:14:00,23,73.4,46.5
2025-09-13 22:14:30,23,73.4,46.5
2025-09-13 22:15:00,23,73.4,46.5
2025-09-13 22:15:30,23,73.4,46.5
2025-09-13 22:16:00,23,73.4,46.5
2025-09-13 22:16:30,23,73.4,46.5
2025-09-13 22:17:00,22.9,87.8,47.6
2025-09-13 22:17:30,22.9,87.8,47.6
2025-09-13 22:18:00,22.9,87.8,47.6
2025-09-13 22:18:30,22.9,87.8,47.6
2025-09-13 22:19:00,23.2,87.8,54.4
2025-09-13 22:19:30,23.2,87.8,54.4
2025-09-13 22:20:00,23.2,93.4,54.4
2025-09-13 22:20:30,23.2,93.4,54.4
2025-09-13 22:21:00,25.6,93.4,58.4
2025-09-13 22:21:30,25.6,93.4,58.4
2025-09-13 22:22:00,25.6,93.4,58.4
2025-09-13 22:22:30,25.6,93.4,58.4
2025-09-13 22:23:00,28.3,94.9,58.4
2025-09-13 22:23:30,28.3,94.9,58.4
2025-09-13 22:24:00,28.3,94.9,58.4
2025-09-13 22:24:30,28.3,94.9,58.4
2025-09-13 22:25:00,28.6,94.9,58.4
2025-09-13 22:25:30,28.6,94.9,58.4
2025-09-13 22:26:00,28.6,94.9,58.4
2025-09-13 22:26:30,28.6,94.9,58.4
2025-09-13 22:27:00,28.6,94.9,58.4
2025-09-13 22:27:30,28.6,94.9,58.4
2025-09-13 22:28:00,28.6,94.9,58.4
