"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-14 00:16:00,3,16,7
2025-09-14 00:16:30,3,16,7
2025-09-14 00:17:00,3,16,7
2025-09-14 00:17:30,3,16,7
2025-09-14 00:18:00,3,16,7
2025-09-14 00:18:30,3,16,7
2025-09-14 00:19:00,3,16,7
2025-09-14 00:19:30,3,16,7
2025-09-14 00:20:00,3,16,7
2025-09-14 00:20:30,3,16,7
2025-09-14 00:21:00,3,16,7
2025-09-14 00:21:30,3,16,7
2025-09-14 00:22:00,3,16,7
2025-09-14 00:22:30,3,16,7
2025-09-14 00:23:00,3,16,7
2025-09-14 00:23:30,3,16,7
2025-09-14 00:24:00,3,16,7
2025-09-14 00:24:30,3,16,7
2025-09-14 00:25:00,3,16,7
2025-09-14 00:25:30,3,16,7
2025-09-14 00:26:00,3,16,7
2025-09-14 00:26:30,3,16,7
2025-09-14 00:27:00,3,16,7
2025-09-14 00:27:30,3,16,7
2025-09-14 00:28:00,3,16,7
2025-09-14 00:28:30,3,16,7
2025-09-14 00:29:00,3,16,7
2025-09-14 00:29:30,3,16,7
2025-09-14 00:30:00,3,16,7
2025-09-14 00:30:30,3,16,7
2025-09-14 00:31:00,3,16,7
2025-09-14 00:31:30,3,16,7
2025-09-14 00:32:00,3,16,7
2025-09-14 00:32:30,3,16,7
2025-09-14 00:33:00,3,16,7
2025-09-14 00:33:30,3,16,7
2025-09-14 00:34:00,3,16,7
2025-09-14 00:34:30,3,16,7
2025-09-14 00:35:00,3,16,7
2025-09-14 00:35:30,3,16,7
2025-09-14 00:36:00,3,16,7
2025-09-14 00:36:30,3,16,7
2025-09-14 00:37:00,3,16,7
2025-09-14 00:37:30,3,16,7
2025-09-14 00:38:00,3,16,7
2025-09-14 00:38:30,3,16,7
2025-09-14 00:39:00,3,16,7
2025-09-14 00:39:30,3,16,7
2025-09-14 00:40:00,3,16,7
2025-09-14 00:40:30,3,16,7
2025-09-14 00:41:00,3,16,7
2025-09-14 00:41:30,3,16,7
2025-09-14 00:42:00,3,16,7
2025-09-14 00:42:30,3,16,7
2025-09-14 00:43:00,3,16,7
2025-09-14 00:43:30,3,16,7
2025-09-14 00:44:00,3,16,7
2025-09-14 00:44:30,3,16,7
2025-09-14 00:45:00,3,16,7
2025-09-14 00:45:30,3,16,7
