sep=,
"Time","k6_checks_rate"
2025-09-13 21:18:45,100 %
2025-09-13 21:19:00,100 %
2025-09-13 21:19:15,100 %
2025-09-13 21:19:30,100 %
2025-09-13 21:19:45,100 %
2025-09-13 21:20:00,100 %
2025-09-13 21:20:15,100 %
2025-09-13 21:20:30,100 %
2025-09-13 21:20:45,100 %
2025-09-13 21:21:00,100 %
2025-09-13 21:21:15,100 %
2025-09-13 21:21:30,100 %
2025-09-13 21:21:45,100 %
2025-09-13 21:22:00,100 %
2025-09-13 21:22:15,100 %
2025-09-13 21:22:30,100 %
2025-09-13 21:22:45,100 %
2025-09-13 21:23:00,100 %
2025-09-13 21:23:15,100 %
2025-09-13 21:23:30,100 %
2025-09-13 21:23:45,100 %
2025-09-13 21:24:00,100 %
2025-09-13 21:24:15,100 %
2025-09-13 21:24:30,100 %
2025-09-13 21:24:45,100 %
2025-09-13 21:25:00,100 %
2025-09-13 21:25:15,100 %
2025-09-13 21:25:30,100 %
2025-09-13 21:25:45,100 %
2025-09-13 21:26:00,100 %
2025-09-13 21:26:15,100 %
2025-09-13 21:26:30,100 %
2025-09-13 21:26:45,100 %
2025-09-13 21:27:00,100 %
2025-09-13 21:27:15,100 %
2025-09-13 21:27:30,100 %
2025-09-13 21:27:45,100 %
2025-09-13 21:28:00,100 %
2025-09-13 21:28:15,100 %
2025-09-13 21:28:30,100 %
2025-09-13 21:28:45,100 %
2025-09-13 21:29:00,100 %
2025-09-13 21:29:15,100 %
2025-09-13 21:29:30,100 %
2025-09-13 21:29:45,100 %
2025-09-13 21:30:00,100 %
2025-09-13 21:30:15,100 %
2025-09-13 21:30:30,100 %
2025-09-13 21:30:45,100 %
2025-09-13 21:31:00,100 %
2025-09-13 21:31:15,100 %
2025-09-13 21:31:30,100 %
2025-09-13 21:31:45,100 %
2025-09-13 21:32:00,100 %
2025-09-13 21:32:15,100 %
2025-09-13 21:32:30,100 %
2025-09-13 21:32:45,100 %
2025-09-13 21:33:00,100 %
2025-09-13 21:33:15,100 %
2025-09-13 21:33:30,100 %
2025-09-13 21:33:45,100 %
2025-09-13 21:34:00,100 %
2025-09-13 21:34:15,100 %
2025-09-13 21:34:30,100 %
2025-09-13 21:34:45,100 %
2025-09-13 21:35:00,100 %
2025-09-13 21:35:15,100 %
2025-09-13 21:35:30,100 %
2025-09-13 21:35:45,100 %
2025-09-13 21:36:00,100 %
2025-09-13 21:36:15,100 %
2025-09-13 21:36:30,100 %
2025-09-13 21:36:45,100 %
2025-09-13 21:37:00,100 %
2025-09-13 21:37:15,100 %
2025-09-13 21:37:30,100 %
2025-09-13 21:37:45,100 %
2025-09-13 21:38:00,100 %
2025-09-13 21:38:15,100 %
2025-09-13 21:38:30,100 %
2025-09-13 21:38:45,100 %
2025-09-13 21:39:00,100 %
2025-09-13 21:39:15,100 %
2025-09-13 21:39:30,100 %
2025-09-13 21:39:45,100 %
2025-09-13 21:40:00,100 %
2025-09-13 21:40:15,100 %
2025-09-13 21:40:30,100 %
2025-09-13 21:40:45,100 %
2025-09-13 21:41:00,100 %
2025-09-13 21:41:15,100 %
2025-09-13 21:41:30,100 %
2025-09-13 21:41:45,100 %
2025-09-13 21:42:00,100 %
2025-09-13 21:42:15,100 %
2025-09-13 21:42:30,100 %
2025-09-13 21:42:45,100 %
2025-09-13 21:43:00,100 %
2025-09-13 21:43:15,100 %
2025-09-13 21:43:30,100 %
2025-09-13 21:43:45,100 %
2025-09-13 21:44:00,100 %
2025-09-13 21:44:15,100 %
2025-09-13 21:44:30,100 %
2025-09-13 21:44:45,100 %
2025-09-13 21:45:00,100 %
2025-09-13 21:45:15,100 %
2025-09-13 21:45:30,100 %
2025-09-13 21:45:45,100 %
2025-09-13 21:46:00,100 %
2025-09-13 21:46:15,100 %
2025-09-13 21:46:30,100 %
2025-09-13 21:46:45,100 %
2025-09-13 21:47:00,100 %
2025-09-13 21:47:15,100 %
2025-09-13 21:47:30,100 %
2025-09-13 21:47:45,100 %
2025-09-13 21:48:00,100 %
2025-09-13 21:48:15,100 %
2025-09-13 21:48:30,100 %
2025-09-13 21:48:45,100 %
2025-09-13 21:49:00,100 %
2025-09-13 21:49:15,100 %
2025-09-13 21:49:30,100 %
2025-09-13 21:49:45,100 %
2025-09-13 21:50:00,100 %
2025-09-13 21:50:15,100 %
2025-09-13 21:50:30,100 %
2025-09-13 21:50:45,100 %
2025-09-13 21:51:00,100 %
2025-09-13 21:51:15,100 %
2025-09-13 21:51:30,100 %
2025-09-13 21:51:45,100 %
2025-09-13 21:52:00,100 %
2025-09-13 21:52:15,100 %
2025-09-13 21:52:30,100 %
2025-09-13 21:52:45,100 %
2025-09-13 21:53:00,100 %
2025-09-13 21:53:15,100 %
2025-09-13 21:53:30,100 %
2025-09-13 21:53:45,100 %
2025-09-13 21:54:00,100 %
2025-09-13 21:54:15,100 %
2025-09-13 21:54:30,100 %
2025-09-13 21:54:45,100 %
2025-09-13 21:55:00,100 %
2025-09-13 21:55:15,100 %
2025-09-13 21:55:30,100 %
2025-09-13 21:55:45,100 %
2025-09-13 21:56:00,100 %
2025-09-13 21:56:15,100 %
2025-09-13 21:56:30,100 %
2025-09-13 21:56:45,100 %
2025-09-13 21:57:00,100 %
2025-09-13 21:57:15,100 %
2025-09-13 21:57:30,100 %
2025-09-13 21:57:45,100 %
2025-09-13 21:58:00,100 %
2025-09-13 21:58:15,100 %
2025-09-13 21:58:30,100 %
2025-09-13 21:58:45,100 %
2025-09-13 21:59:00,100 %
2025-09-13 21:59:15,100 %
2025-09-13 21:59:30,100 %
2025-09-13 21:59:45,100 %
2025-09-13 22:00:00,100 %
2025-09-13 22:00:15,100 %
2025-09-13 22:00:30,100 %
2025-09-13 22:00:45,100 %
2025-09-13 22:01:00,100 %
2025-09-13 22:01:15,100 %
2025-09-13 22:01:30,100 %
2025-09-13 22:01:45,100 %
2025-09-13 22:02:00,100 %
2025-09-13 22:02:15,100 %
2025-09-13 22:02:30,100 %
2025-09-13 22:02:45,100 %
2025-09-13 22:03:00,100 %
2025-09-13 22:03:15,100 %
2025-09-13 22:03:30,100 %
2025-09-13 22:03:45,100 %
2025-09-13 22:04:00,100 %
